task,c1-sequential-de-1,c1-sequential-de-2,c1-sequential-de-3,c1-sequential-de-4,c1-sequential-de-5,c1-sequential-de-6,c1-sequential-fi-1,c1-sequential-fi-2,c1-sequential-fi-3,c1-sequential-fi-4,c1-sequential-fi-5,c1-sequential-fi-6
anaphor_agreement,85.74,88.85,90.29,90.9,93.0,92.79,86.04,75.2,85.89,90.13,88.85,88.45
argument_structure,59.37,67.35,68.08,69.77,68.93,68.84,58.81,59.19,61.12,67.02,69.34,68.72
binding,66.24,65.88,66.77,68.06,67.28,67.65,67.48,65.49,68.08,66.5,68.63,68.28
control_raising,58.42,63.01,65.84,66.92,67.01,66.68,58.75,58.71,59.52,63.23,65.71,65.13
determiner_noun_agreement,55.78,88.54,91.0,92.32,92.54,92.38,56.34,57.54,84.3,88.98,89.45,89.68
ellipsis,55.43,80.72,82.16,85.22,84.12,82.56,54.39,67.09,77.37,82.51,85.85,85.45
filler_gap,70.18,63.85,67.3,66.68,67.96,66.98,69.14,66.93,58.81,64.78,67.16,66.5
irregular_forms,51.5,85.7,85.65,86.97,84.94,84.12,52.82,58.37,87.99,89.67,89.21,90.69
island_effects,47.5,35.87,40.88,47.16,45.14,43.35,52.62,49.44,41.22,37.59,37.59,40.96
npi_licensing,35.55,59.26,65.99,71.18,74.99,76.78,45.92,42.15,61.04,62.33,66.14,64.7
quantifiers,56.11,60.18,69.65,65.3,66.2,65.17,45.34,52.22,59.38,65.07,65.04,66.9
subject_verb_agreement,51.27,64.5,70.82,72.07,68.26,67.73,52.45,51.58,62.24,69.21,70.77,69.29
hypernym,50.12,50.81,47.79,49.65,47.79,49.3,52.09,50.47,51.28,48.72,49.53,49.53
qa_congruence_easy,42.19,57.81,59.38,54.69,60.94,59.38,40.62,45.31,67.19,57.81,59.38,59.38
qa_congruence_tricky,30.91,40.61,40.0,42.42,44.85,44.85,31.52,37.58,46.06,46.06,41.21,40.61
subject_aux_inversion,63.97,81.19,79.97,78.92,79.29,78.02,65.09,60.92,73.82,80.09,77.38,79.68
turn_taking,59.29,67.5,65.36,70.36,68.57,71.43,58.57,58.93,63.57,63.93,66.79,67.5
