task,c1-interleaved-1,c1-interleaved-2,c1-interleaved-3,c1-interleaved-4,c1-interleaved-5,c1-interleaved-6,c1-interleaved2-1,c1-interleaved2-2,c1-interleaved2-3,c1-interleaved2-4,c1-interleaved2-5,c1-interleaved2-6,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c1-sequential-ewc-1,c1-sequential-ewc-2,c1-sequential-ewc-3,c1-sequential-ewc-4,c1-sequential-ewc-5,c1-sequential-ewc-6
anaphor_agreement,87.37,85.12,89.47,90.59,91.36,90.39,92.13,87.93,83.44,81.75,84.3,81.6,71.47,65.85,77.4,66.51,65.95,65.24,91.41,91.26,91.31,89.67,90.64,90.9
argument_structure,59.69,61.55,69.01,70.94,71.56,72.01,67.96,66.8,66.54,66.22,67.53,67.54,63.3,61.86,63.0,61.82,61.25,61.24,69.67,70.53,70.48,70.2,70.31,69.87
binding,64.51,64.14,67.35,68.27,67.59,66.24,69.28,66.95,68.03,66.59,68.15,67.74,57.01,58.4,55.74,54.88,55.86,56.8,68.86,66.55,67.17,66.41,67.02,67.28
control_raising,58.02,61.56,65.0,65.02,67.32,66.15,64.89,65.4,63.72,65.73,64.38,65.18,61.98,60.54,59.41,57.25,58.13,57.47,66.28,65.84,67.41,67.72,66.46,66.33
determiner_noun_agreement,55.67,84.79,90.63,91.37,91.9,92.2,93.09,92.16,91.33,91.26,90.63,93.53,75.55,71.57,71.13,69.45,70.11,72.21,90.44,91.43,90.27,90.24,89.64,89.92
ellipsis,56.24,75.06,86.95,84.82,87.64,86.84,79.1,81.35,81.47,81.52,80.02,80.37,72.29,69.4,63.45,62.99,65.82,65.53,72.06,74.02,71.07,68.76,68.01,67.84
filler_gap,69.48,62.87,65.22,66.4,66.36,66.64,65.87,64.25,66.57,65.36,66.17,66.98,41.8,48.1,51.09,52.66,50.61,50.96,67.29,69.22,68.35,68.46,68.21,68.13
irregular_forms,58.63,86.06,86.46,91.25,94.25,94.05,88.04,87.18,85.65,88.4,86.56,88.04,67.12,72.42,72.57,71.55,75.42,74.25,83.16,83.51,80.36,81.42,81.07,81.12
island_effects,46.64,43.83,44.51,43.05,45.03,44.84,48.58,48.77,44.99,50.78,48.58,49.07,45.48,48.54,50.9,51.91,50.71,50.9,46.86,49.22,47.76,47.94,48.39,48.02
npi_licensing,41.74,48.15,55.19,51.06,59.43,62.28,76.19,71.96,75.65,70.06,70.04,68.77,56.48,50.3,54.49,55.62,50.64,50.44,68.55,67.07,67.51,69.13,68.55,68.49
quantifiers,51.75,58.48,56.08,58.76,58.48,60.33,68.8,56.31,62.7,58.71,61.88,64.89,66.38,63.91,62.83,69.81,62.7,65.92,65.97,62.96,68.06,71.07,70.66,70.48
subject_verb_agreement,50.48,54.38,62.82,65.08,65.82,65.62,65.56,64.43,64.82,65.76,64.55,66.41,50.24,51.78,52.65,49.52,49.39,50.14,66.85,66.88,65.87,64.03,64.7,64.05
hypernym,52.79,50.58,51.28,52.21,50.12,48.95,49.42,49.53,48.6,49.07,47.44,48.84,50.35,49.42,50.12,48.02,50.58,50.47,49.07,48.49,48.49,46.86,49.19,48.6
qa_congruence_easy,50.0,53.12,54.69,62.5,59.38,57.81,78.12,70.31,62.5,68.75,79.69,79.69,40.62,48.44,46.88,51.56,50.0,46.88,53.12,53.12,54.69,54.69,54.69,54.69
qa_congruence_tricky,34.55,42.42,43.03,43.03,46.06,44.85,47.88,49.09,50.3,46.06,53.33,55.15,28.48,26.06,27.88,29.7,26.06,26.67,40.0,43.64,41.21,43.64,43.64,44.24
subject_aux_inversion,61.23,76.87,78.46,78.04,81.02,81.02,74.92,79.43,80.87,80.26,76.95,80.75,60.33,55.6,59.53,63.06,58.89,58.75,72.46,73.04,72.14,72.21,72.77,71.87
turn_taking,57.86,61.43,64.64,63.57,62.86,66.43,67.14,68.57,67.14,67.86,70.0,71.07,56.79,58.21,52.86,51.43,50.0,47.86,69.64,69.29,69.64,69.64,69.64,68.93
