task,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c2-sequential-1,c2-sequential-2,c2-sequential-3,c2-sequential-4,c2-sequential-5,c2-sequential-6,c3-sequential-1,c3-sequential-2,c3-sequential-3,c3-sequential-4,c3-sequential-5,c3-sequential-6
anaphor_agreement,97.19,97.55,98.62,98.01,98.47,98.21,97.44,97.49,98.47,98.82,98.88,98.93,96.17,97.55,96.98,98.47,98.42,97.96
argument_structure,81.11,82.5,81.55,81.96,81.78,81.64,78.44,79.9,78.77,79.51,79.13,79.53,78.71,79.09,78.15,79.18,80.0,79.85
binding,77.11,77.1,77.31,77.13,77.75,78.01,75.78,76.86,76.88,78.04,78.2,78.05,76.37,78.41,77.4,77.5,76.73,76.88
control_raising,75.01,76.25,76.58,77.51,76.6,76.8,74.7,76.56,74.9,75.56,75.72,75.74,74.17,74.66,75.25,74.28,74.55,74.94
determiner_noun_agreement,95.82,96.54,95.58,96.0,95.73,95.85,95.41,96.59,95.66,96.47,96.58,96.59,95.25,95.84,95.39,96.12,95.48,95.57
ellipsis,86.49,85.51,83.6,86.37,85.22,85.8,83.2,81.64,81.81,81.7,79.79,79.5,85.97,83.89,83.72,85.97,84.99,84.7
filler_gap,76.35,76.74,76.19,75.74,75.71,76.41,77.12,78.59,77.45,77.96,77.67,77.76,76.35,76.97,75.46,76.38,75.66,75.82
irregular_forms,92.62,94.05,90.18,90.84,91.15,91.09,93.54,93.54,94.66,95.22,95.06,95.37,90.99,92.26,90.64,93.33,91.6,90.48
island_effects,58.67,60.35,61.58,60.72,60.46,62.03,57.96,59.38,56.8,58.89,60.05,60.95,59.68,62.18,62.52,64.91,63.75,64.09
npi_licensing,54.97,55.88,48.42,61.39,56.7,57.36,49.71,48.77,46.86,46.95,46.89,43.44,39.3,45.98,46.86,45.72,45.2,44.09
quantifiers,77.43,65.02,77.64,73.72,74.96,74.94,79.08,72.69,73.49,78.54,79.8,77.36,72.82,73.08,75.43,70.3,70.22,71.3
subject_verb_agreement,84.35,84.26,82.96,83.27,83.81,84.35,79.53,81.75,79.51,81.43,80.9,81.19,83.87,84.26,82.44,83.14,84.84,84.91
hypernym,48.14,48.02,47.79,48.26,47.44,47.91,48.37,48.26,48.95,48.02,47.33,48.02,47.91,46.16,47.21,46.4,47.56,46.86
qa_congruence_easy,78.12,76.56,75.0,73.44,75.0,75.0,71.88,75.0,78.12,76.56,79.69,76.56,73.44,78.12,71.88,79.69,78.12,79.69
qa_congruence_tricky,52.12,52.73,52.73,56.36,56.36,56.36,43.64,44.85,44.24,44.24,44.85,46.06,44.85,49.7,52.73,51.52,50.91,53.94
subject_aux_inversion,87.41,85.46,87.97,86.83,85.36,86.44,89.51,89.61,90.68,89.61,90.71,90.53,81.56,84.44,84.19,86.36,85.22,86.87
turn_taking,74.29,72.14,71.79,71.43,73.57,72.86,68.57,70.71,70.36,69.29,71.07,72.14,71.79,68.21,71.07,71.07,75.36,75.0
